,created_at,content,media,source_link,comments,likes,shares,reactions
233,1617822908,"From social selling to employee advocacy, Sodexo has become a leader in ensuring the value of social goes beyond just marketing 👏

Join us for a #LinkedInLive as we chat with Sodexo’s SVP of Digital and Employee Communications to discuss what it takes to become a social leader.

Save your spot: http://ow.ly/LIhJ50EcrDb","MEDIA_PHOTO - https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/s720x720/168747331_10158367654208821_5723941897736316770_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=da1649&_nc_ohc=t70JafeUwWwAX9_lG3J&_nc_ht=scontent-iad3-2.xx&tp=7&oh=fa87670c88d149172fdb601815a8cde9&oe=60958CEF
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158367654198821/?type=3,0,9,0,9
234,1617304507,"By tapping into social advocacy, Sodexo saw their content attract 2.3x as many views as content on their LinkedIn page. 

Join us for a #LinkedInLive as we chat with Sodexo’s SVP of Digital and Employee Communications to hear how they became a social leader 🏆

Save your spot: http://ow.ly/Wq9S50EcrpL","MEDIA_PHOTO - https://scontent-lga3-2.xx.fbcdn.net/v/t1.6435-9/s720x720/167439967_10158353212643821_482671725350304514_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=da1649&_nc_ohc=_hUkwbGWWaAAX9zqImh&_nc_ht=scontent-lga3-2.xx&tp=7&oh=fac9cc47a3a2a0385be924001287c36b&oe=608A0996
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158353212633821/?type=3,1,3,0,3
235,1617292853,"IGTV analytics are now within Hootsuitem Impact (no joke) 🎉 📱  View your IGTV analytics alongside all your other Instagram content in the dashboard 📊 

New to IGTV? Here's everything you need to know: http://ow.ly/aYWc50EdXJ4","MEDIA_PHOTO - https://scontent-lga3-2.xx.fbcdn.net/v/t1.6435-9/s720x720/167791158_10158352822393821_7475228630400563770_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=da1649&_nc_ohc=LZ6EObF8UiIAX9grCF1&_nc_ht=scontent-lga3-2.xx&tp=7&oh=cab0cc8f5d4ff28ef3a4bf37eca0f37f&oe=608CBC4E
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158352822383821/?type=3,1,4,0,4
236,1618751705,The experts are doing it like this.,,https://www.facebook.com/177463958820/posts/10158393438338821/,0,11,2,12
237,1618514105,"Is TikTok actually the best place to reach Gen Z? Is online shopping as rampant as it was in 2020? Test your assumptions with this comprehensive report on the state of digital, ecommerce, and social media. #Digital2021 http://ow.ly/TBNo50EoCt9",,https://www.facebook.com/177463958820/posts/10158387500733821/,0,12,3,12
238,1618492507,Short answer: yes.,,https://www.facebook.com/177463958820/posts/10158386811228821/,1,12,5,12
239,1618600506,We figured out how the algorithm works!,,https://www.facebook.com/177463958820/posts/10158389914903821/,0,5,1,5
240,1618665305,Click here to find out!,,https://www.facebook.com/177463958820/posts/10158391429573821/,1,16,10,18
241,1618578907,You're posting at the wrong time.,,https://www.facebook.com/177463958820/posts/10158389155918821/,0,7,3,7
242,1618859707,Don't do this on social.,,https://www.facebook.com/177463958820/posts/10158396329148821/,0,14,5,15
