,created_at,content,media,source_link,favorites,retweets,replies
523,1616692250,"@DannyKambel @MadalynSklar The land of the blue football field, right? We're joining in from Vancouver, BC! #TwitterSmarter",,https://twitter.com/hootsuite/status/1375133084883038209,1,0,1
524,1616692613,@LanceASchart @MadalynSklar Yeah. We've seen more than a few examples of the algorithm cropping images poorly 😅 #TwitterSmarter,,https://twitter.com/hootsuite/status/1375134604563263490,2,0,0
525,1616608126,"Key Takeaways from @BeingBrayden's segment on connecting better with the B2C audience. 

Treat our Instagram page like a storefront, take a real stance by being transparent, and get creative with new functions and features 😎 #SocialTrends2021 https://twitter.com/hootsuite/status/1374780240807989250/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1374780240807989250/photo/1
",https://twitter.com/hootsuite/status/1374780240807989250,10,1,1
526,1616092088,@hannah_jelliman @Dmurr68 @canva @figmadesign Appreciate the shoutout 😊,,https://twitter.com/hootsuite/status/1372615822473039881,18,1,1
527,1616432777,@ea1co And your compliment is like the cherry on top. Thank you!🍦,,https://twitter.com/hootsuite/status/1374044775209394187,3,0,0
528,1617033915,@TheWrightShan Yes! You've got a great start to the week routine 💪,,https://twitter.com/hootsuite/status/1376566129859166210,1,0,0
529,1616535265,What is another social media experiment you'd like to see us run and report on? https://twitter.com/hootsuite/status/1374425727152447502 https://twitter.com/hootsuite/status/1374425727152447502,,https://twitter.com/hootsuite/status/1374474640601489409,16,0,4
530,1616438002,"@HRudderham Ha! Stay safe out there, Hannah. #COPP3053",,https://twitter.com/hootsuite/status/1374066691097911306,2,0,0
531,1616446888,@cmclymer @cagoldberglaw @kate_manne https://twitter.com/hootsuite/status/1374103960429166601/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1374103960429166601/photo/1
",https://twitter.com/hootsuite/status/1374103960429166601,1,0,1
532,1616421910,"Social media writing challenge: Use at least one simile in your publishing this week. 

Similes attract people's attention like a big neon sign!",,https://twitter.com/hootsuite/status/1373999193757528064,75,17,3
